Table: DT_Local, Prop: localdata.m_Local.m_iHideHUD, Offset: 0x29F0
Table: DT_Local, Prop: localdata.m_Local.m_flFOVRate, Offset: 0x29F4
Table: DT_Local, Prop: localdata.m_Local.m_bDucked, Offset: 0x29F8
Table: DT_Local, Prop: localdata.m_Local.m_bDucking, Offset: 0x29F9
Table: DT_Local, Prop: localdata.m_Local.m_bInDuckJump, Offset: 0x29FA
Table: DT_Local, Prop: localdata.m_Local.m_flDucktime, Offset: 0x29FC
Table: DT_Local, Prop: localdata.m_Local.m_flDuckJumpTime, Offset: 0x2A00
Table: DT_Local, Prop: localdata.m_Local.m_flJumpTime, Offset: 0x2A04
Table: DT_Local, Prop: localdata.m_Local.m_flFallVelocity, Offset: 0x2A0C
Table: DT_Local, Prop: localdata.m_Local.m_vecPunchAngle, Offset: 0x2A20
Table: DT_Local, Prop: localdata.m_Local.m_vecPunchAngleVel, Offset: 0x2A80
Table: DT_Local, Prop: localdata.m_Local.m_bDrawViewmodel, Offset: 0x2AE0
Table: DT_Local, Prop: localdata.m_Local.m_bWearingSuit, Offset: 0x2AE1
Table: DT_Local, Prop: localdata.m_Local.m_bPoisoned, Offset: 0x2AE2
Table: DT_Local, Prop: localdata.m_Local.m_flStepSize, Offset: 0x2AE4
Table: DT_Local, Prop: localdata.m_Local.m_bAllowAutoMovement, Offset: 0x2AE8
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.scale, Offset: 0x2AF8
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.origin, Offset: 0x2AFC
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.area, Offset: 0x2B08
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.fog.enable, Offset: 0x2B60
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.fog.blend, Offset: 0x2B61
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.fog.radial, Offset: 0x2B62
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.fog.dirPrimary, Offset: 0x2B18
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.fog.colorPrimary, Offset: 0x2B24
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.fog.colorSecondary, Offset: 0x2B28
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.fog.colorPrimaryHDR, Offset: 0x2B2C
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.fog.colorSecondaryHDR, Offset: 0x2B30
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.fog.start, Offset: 0x2B3C
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.fog.end, Offset: 0x2B40
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.fog.maxdensity, Offset: 0x2B48
Table: DT_Local, Prop: localdata.m_Local.m_skybox3d.fog.HDRColorScale, Offset: 0x2B64
Table: DT_Local, Prop: localdata.m_Local.m_PlayerFog.m_hCtrl, Offset: 0x2B70
Table: DT_Local, Prop: localdata.m_Local.m_audio.localSound[0], Offset: 0x2B98
Table: DT_Local, Prop: localdata.m_Local.m_audio.localSound[1], Offset: 0x2BA4
Table: DT_Local, Prop: localdata.m_Local.m_audio.localSound[2], Offset: 0x2BB0
Table: DT_Local, Prop: localdata.m_Local.m_audio.localSound[3], Offset: 0x2BBC
Table: DT_Local, Prop: localdata.m_Local.m_audio.localSound[4], Offset: 0x2BC8
Table: DT_Local, Prop: localdata.m_Local.m_audio.localSound[5], Offset: 0x2BD4
Table: DT_Local, Prop: localdata.m_Local.m_audio.localSound[6], Offset: 0x2BE0
Table: DT_Local, Prop: localdata.m_Local.m_audio.localSound[7], Offset: 0x2BEC
Table: DT_Local, Prop: localdata.m_Local.m_audio.soundscapeIndex, Offset: 0x2BF8
Table: DT_Local, Prop: localdata.m_Local.m_audio.localBits, Offset: 0x2BFC
Table: DT_Local, Prop: localdata.m_Local.m_audio.ent, Offset: 0x2C00
Table: DT_Local, Prop: localdata.m_Local.m_fSprintSpeed, Offset: 0x2C0C
Table: DT_Local, Prop: localdata.m_Local.m_fWalkSpeed, Offset: 0x2C10
Table: DT_Local, Prop: localdata.m_Local.m_fSlowWalkSpeed, Offset: 0x2C14
Table: DT_Local, Prop: localdata.m_Local.m_fLadderSpeed, Offset: 0x2C18
Table: DT_Local, Prop: localdata.m_Local.m_fCrouchedWalkSpeed, Offset: 0x2C1C
Table: DT_Local, Prop: localdata.m_Local.m_fDuckSpeed, Offset: 0x2C20
Table: DT_Local, Prop: localdata.m_Local.m_fUnDuckSpeed, Offset: 0x2C24
Table: DT_Local, Prop: localdata.m_Local.m_bDuckToggled, Offset: 0x2C28
Table: DT_Local, Prop: localdata.m_Local.m_iHideHUD, Offset: 0x29F0
Table: DT_Local, Prop: localdata.m_Local.m_flFOVRate, Offset: 0x29F4
Table: DT_Local, Prop: localdata.m_Local.m_bDucked, Offset: 0x29F8
Table: DT_Local, Prop: localdata.m_Local.m_bDucking, Offset: 0x29F9
