Table: DT_BaseEntity, Prop: m_flSimulationTime, Offset: 0xA0
Table: DT_BaseEntity, Prop: m_ubInterpolationFrame, Offset: 0xAC
Table: DT_BaseEntity, Prop: m_vecOrigin, Offset: 0x428
Table: DT_BaseEntity, Prop: m_angRotation, Offset: 0x434
Table: DT_BaseEntity, Prop: m_nModelIndex, Offset: 0xC4
Table: DT_BaseEntity, Prop: m_fEffects, Offset: 0xB0
Table: DT_BaseEntity, Prop: m_nRenderMode, Offset: 0xB4
Table: DT_BaseEntity, Prop: m_nRenderFX, Offset: 0x84
Table: DT_BaseEntity, Prop: m_clrRender, Offset: 0x88
Table: DT_BaseEntity, Prop: m_iTeamNum, Offset: 0xD4
Table: DT_BaseEntity, Prop: m_CollisionGroup, Offset: 0x444
Table: DT_BaseEntity, Prop: m_flElasticity, Offset: 0x2F0
Table: DT_BaseEntity, Prop: m_flShadowCastDistance, Offset: 0x2F4
Table: DT_BaseEntity, Prop: m_hOwnerEntity, Offset: 0x734
Table: DT_BaseEntity, Prop: m_hEffectEntity, Offset: 0x738
Table: DT_BaseEntity, Prop: moveparent, Offset: 0x20C
Table: DT_BaseEntity, Prop: m_iParentAttachment, Offset: 0x1F6
Table: DT_BaseEntity, Prop: movetype, Offset: 0x0
Table: DT_BaseEntity, Prop: movecollide, Offset: 0x0
Table: DT_BaseEntity, Prop: m_iTextureFrameIndex, Offset: 0x728
Table: DT_BaseEntity, Prop: m_bSimulatedEveryTick, Offset: 0x725
Table: DT_BaseEntity, Prop: m_bAnimatedEveryTick, Offset: 0x726
Table: DT_BaseEntity, Prop: m_bAlternateSorting, Offset: 0x727
Table: DT_BaseEntity, Prop: m_takedamage, Offset: 0xC6
Table: DT_BaseEntity, Prop: m_RealClassName, Offset: 0x778
Table: DT_BaseEntity, Prop: m_OverrideMaterial, Offset: 0x77C
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[0], Offset: 0x788
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[0], Offset: 0x0
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[1], Offset: 0x4
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[2], Offset: 0x8
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[3], Offset: 0xC
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[4], Offset: 0x10
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[5], Offset: 0x14
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[6], Offset: 0x18
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[7], Offset: 0x1C
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[8], Offset: 0x20
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[9], Offset: 0x24
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[10], Offset: 0x28
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[11], Offset: 0x2C
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[12], Offset: 0x30
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[13], Offset: 0x34
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[14], Offset: 0x38
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[15], Offset: 0x3C
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[16], Offset: 0x40
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[17], Offset: 0x44
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[18], Offset: 0x48
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[19], Offset: 0x4C
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[20], Offset: 0x50
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[21], Offset: 0x54
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[22], Offset: 0x58
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[23], Offset: 0x5C
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[24], Offset: 0x60
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[25], Offset: 0x64
Table: DT_BaseEntity, Prop: m_OverrideSubMaterials[26], Offset: 0x68
