Table: DT_TEWorldDecal, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEWorldDecal, Prop: m_nIndex, Offset: 0x2C
Table: DT_TESpriteSpray, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TESpriteSpray, Prop: m_vecDirection, Offset: 0x2C
Table: DT_TESpriteSpray, Prop: m_nModelIndex, Offset: 0x38
Table: DT_TESpriteSpray, Prop: m_fNoise, Offset: 0x40
Table: DT_TESpriteSpray, Prop: m_nCount, Offset: 0x44
Table: DT_TESpriteSpray, Prop: m_nSpeed, Offset: 0x3C
Table: DT_TESprite, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TESprite, Prop: m_nModelIndex, Offset: 0x2C
Table: DT_TESprite, Prop: m_fScale, Offset: 0x30
Table: DT_TESprite, Prop: m_nBrightness, Offset: 0x34
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TESparks, Prop: m_nMagnitude, Offset: 0x30
Table: DT_TESparks, Prop: m_nTrailLength, Offset: 0x34
Table: DT_TESparks, Prop: m_vecDir, Offset: 0x38
Table: DT_TESmoke, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TESmoke, Prop: m_nModelIndex, Offset: 0x2C
Table: DT_TESmoke, Prop: m_fScale, Offset: 0x30
Table: DT_TESmoke, Prop: m_nFrameRate, Offset: 0x34
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEShowLine, Prop: m_vecEnd, Offset: 0x30
Table: DT_TEProjectedDecal, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEProjectedDecal, Prop: m_angRotation, Offset: 0x2C
Table: DT_TEProjectedDecal, Prop: m_flDistance, Offset: 0x38
Table: DT_TEProjectedDecal, Prop: m_nIndex, Offset: 0x3C
Table: DT_TEPlayerDecal, Prop: m_vecOrigin, Offset: 0x24
Table: DT_TEPlayerDecal, Prop: m_nEntity, Offset: 0x30
Table: DT_TEPlayerDecal, Prop: m_nPlayer, Offset: 0x20
Table: DT_TEPhysicsProp, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEPhysicsProp, Prop: m_angRotation[0], Offset: 0x2C
Table: DT_TEPhysicsProp, Prop: m_angRotation[1], Offset: 0x30
Table: DT_TEPhysicsProp, Prop: m_angRotation[2], Offset: 0x34
Table: DT_TEPhysicsProp, Prop: m_vecVelocity, Offset: 0x38
Table: DT_TEPhysicsProp, Prop: m_nModelIndex, Offset: 0x44
Table: DT_TEPhysicsProp, Prop: m_nFlags, Offset: 0x4C
Table: DT_TEPhysicsProp, Prop: m_nSkin, Offset: 0x48
Table: DT_TEPhysicsProp, Prop: m_nEffects, Offset: 0x50
Table: DT_TEPhysicsProp, Prop: m_clrRender, Offset: 0x54
Table: DT_TEPhysicsProp, Prop: m_fModelScale, Offset: 0x58
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEMuzzleFlash, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEMuzzleFlash, Prop: m_vecAngles, Offset: 0x2C
Table: DT_TEMuzzleFlash, Prop: m_flScale, Offset: 0x38
Table: DT_TEMuzzleFlash, Prop: m_nType, Offset: 0x3C
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TELargeFunnel, Prop: m_nModelIndex, Offset: 0x30
Table: DT_TELargeFunnel, Prop: m_nReversed, Offset: 0x34
Table: DT_TEKillPlayerAttachments, Prop: m_nPlayer, Offset: 0x20
Table: DT_TEImpact, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEImpact, Prop: m_vecNormal, Offset: 0x2C
Table: DT_TEImpact, Prop: m_iType, Offset: 0x38
Table: DT_TEImpact, Prop: m_ucFlags, Offset: 0x3C
Table: DT_TEGlowSprite, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEGlowSprite, Prop: m_nModelIndex, Offset: 0x2C
Table: DT_TEGlowSprite, Prop: m_fScale, Offset: 0x30
Table: DT_TEGlowSprite, Prop: m_fLife, Offset: 0x34
Table: DT_TEGlowSprite, Prop: m_nBrightness, Offset: 0x38
Table: DT_TEShatterSurface, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEShatterSurface, Prop: m_vecAngles, Offset: 0x2C
Table: DT_TEShatterSurface, Prop: m_vecForce, Offset: 0x38
Table: DT_TEShatterSurface, Prop: m_vecForcePos, Offset: 0x44
Table: DT_TEShatterSurface, Prop: m_flWidth, Offset: 0x50
Table: DT_TEShatterSurface, Prop: m_flHeight, Offset: 0x54
Table: DT_TEShatterSurface, Prop: m_flShardSize, Offset: 0x58
Table: DT_TEShatterSurface, Prop: m_nSurfaceType, Offset: 0x68
Table: DT_TEShatterSurface, Prop: m_uchFrontColor[0], Offset: 0x6C
Table: DT_TEShatterSurface, Prop: m_uchFrontColor[1], Offset: 0x6D
Table: DT_TEShatterSurface, Prop: m_uchFrontColor[2], Offset: 0x6E
Table: DT_TEShatterSurface, Prop: m_uchBackColor[0], Offset: 0x6F
Table: DT_TEShatterSurface, Prop: m_uchBackColor[1], Offset: 0x70
Table: DT_TEShatterSurface, Prop: m_uchBackColor[2], Offset: 0x71
Table: DT_TEFootprintDecal, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEFootprintDecal, Prop: m_vecDirection, Offset: 0x2C
Table: DT_TEFootprintDecal, Prop: m_nEntity, Offset: 0x44
Table: DT_TEFootprintDecal, Prop: m_nIndex, Offset: 0x48
Table: DT_TEFootprintDecal, Prop: m_chMaterialType, Offset: 0x4C
Table: DT_TEFizz, Prop: m_nEntity, Offset: 0x20
Table: DT_TEFizz, Prop: m_nModelIndex, Offset: 0x24
Table: DT_TEFizz, Prop: m_nDensity, Offset: 0x28
Table: DT_TEFizz, Prop: m_nCurrent, Offset: 0x2C
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEExplosion, Prop: m_nModelIndex, Offset: 0x30
Table: DT_TEExplosion, Prop: m_fScale, Offset: 0x34
Table: DT_TEExplosion, Prop: m_nFrameRate, Offset: 0x38
Table: DT_TEExplosion, Prop: m_nFlags, Offset: 0x3C
Table: DT_TEExplosion, Prop: m_vecNormal, Offset: 0x40
Table: DT_TEExplosion, Prop: m_chMaterialType, Offset: 0x4C
Table: DT_TEExplosion, Prop: m_nRadius, Offset: 0x50
Table: DT_TEExplosion, Prop: m_nMagnitude, Offset: 0x54
Table: DT_TEEnergySplash, Prop: m_vecPos, Offset: 0x20
Table: DT_TEEnergySplash, Prop: m_vecDir, Offset: 0x2C
Table: DT_TEEnergySplash, Prop: m_bExplosive, Offset: 0x38
Table: DT_EffectData, Prop: m_EffectData.m_vOrigin[0], Offset: 0x20
Table: DT_EffectData, Prop: m_EffectData.m_vOrigin[1], Offset: 0x24
Table: DT_EffectData, Prop: m_EffectData.m_vOrigin[2], Offset: 0x28
Table: DT_EffectData, Prop: m_EffectData.m_vStart[0], Offset: 0x2C
Table: DT_EffectData, Prop: m_EffectData.m_vStart[1], Offset: 0x30
Table: DT_EffectData, Prop: m_EffectData.m_vStart[2], Offset: 0x34
Table: DT_EffectData, Prop: m_EffectData.m_vAngles, Offset: 0x44
Table: DT_EffectData, Prop: m_EffectData.m_vNormal, Offset: 0x38
Table: DT_EffectData, Prop: m_EffectData.m_fFlags, Offset: 0x50
Table: DT_EffectData, Prop: m_EffectData.m_flMagnitude, Offset: 0x5C
Table: DT_EffectData, Prop: m_EffectData.m_flScale, Offset: 0x58
Table: DT_EffectData, Prop: m_EffectData.m_nAttachmentIndex, Offset: 0x64
Table: DT_EffectData, Prop: m_EffectData.m_nSurfaceProp, Offset: 0x68
Table: DT_EffectData, Prop: m_EffectData.m_iEffectName, Offset: 0xAC
Table: DT_EffectData, Prop: m_EffectData.m_nMaterial, Offset: 0x6C
Table: DT_EffectData, Prop: m_EffectData.m_nDamageType, Offset: 0x70
Table: DT_EffectData, Prop: m_EffectData.m_nHitBox, Offset: 0x74
Table: DT_EffectData, Prop: m_EffectData.entindex, Offset: 0x20
Table: DT_EffectData, Prop: m_EffectData.m_nColor, Offset: 0x78
Table: DT_EffectData, Prop: m_EffectData.m_flRadius, Offset: 0x60
Table: DT_EffectData, Prop: m_EffectData.m_bCustomColors, Offset: 0x79
Table: DT_EffectData, Prop: m_EffectData.m_CustomColors.m_vecColor1, Offset: 0x7C
Table: DT_EffectData, Prop: m_EffectData.m_CustomColors.m_vecColor2, Offset: 0x88
Table: DT_EffectData, Prop: m_EffectData.m_bControlPoint1, Offset: 0x94
Table: DT_EffectData, Prop: m_EffectData.m_ControlPoint1.m_eParticleAttachment, Offset: 0x98
Table: DT_EffectData, Prop: m_EffectData.m_ControlPoint1.m_vecOffset[0], Offset: 0x9C
Table: DT_EffectData, Prop: m_EffectData.m_ControlPoint1.m_vecOffset[1], Offset: 0xA0
Table: DT_EffectData, Prop: m_EffectData.m_ControlPoint1.m_vecOffset[2], Offset: 0xA4
Table: DT_EffectData, Prop: m_EffectData.m_bAllowOverride, Offset: 0xA8
Table: DT_TEDynamicLight, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEDynamicLight, Prop: r, Offset: 0x30
Table: DT_TEDynamicLight, Prop: g, Offset: 0x34
Table: DT_TEDynamicLight, Prop: b, Offset: 0x38
Table: DT_TEDynamicLight, Prop: exponent, Offset: 0x3C
Table: DT_TEDynamicLight, Prop: m_fRadius, Offset: 0x2C
Table: DT_TEDynamicLight, Prop: m_fTime, Offset: 0x40
Table: DT_TEDynamicLight, Prop: m_fDecay, Offset: 0x44
Table: DT_TEDecal, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEDecal, Prop: m_vecStart, Offset: 0x2C
Table: DT_TEDecal, Prop: m_nEntity, Offset: 0x38
Table: DT_TEDecal, Prop: m_nHitbox, Offset: 0x3C
Table: DT_TEDecal, Prop: m_nIndex, Offset: 0x40
Table: DT_TEClientProjectile, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEClientProjectile, Prop: m_vecVelocity, Offset: 0x2C
Table: DT_TEClientProjectile, Prop: m_nModelIndex, Offset: 0x38
Table: DT_TEClientProjectile, Prop: m_nLifeTime, Offset: 0x3C
Table: DT_TEClientProjectile, Prop: m_hOwner, Offset: 0x40
Table: DT_TEBubbleTrail, Prop: m_vecMins, Offset: 0x20
Table: DT_TEBubbleTrail, Prop: m_vecMaxs, Offset: 0x2C
Table: DT_TEBubbleTrail, Prop: m_nModelIndex, Offset: 0x3C
Table: DT_TEBubbleTrail, Prop: m_flWaterZ, Offset: 0x38
Table: DT_TEBubbleTrail, Prop: m_nCount, Offset: 0x40
Table: DT_TEBubbleTrail, Prop: m_fSpeed, Offset: 0x44
Table: DT_TEBubbles, Prop: m_vecMins, Offset: 0x20
Table: DT_TEBubbles, Prop: m_vecMaxs, Offset: 0x2C
Table: DT_TEBubbles, Prop: m_nModelIndex, Offset: 0x3C
Table: DT_TEBubbles, Prop: m_fHeight, Offset: 0x38
Table: DT_TEBubbles, Prop: m_nCount, Offset: 0x40
Table: DT_TEBubbles, Prop: m_fSpeed, Offset: 0x44
Table: DT_TEBSPDecal, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEBSPDecal, Prop: m_nEntity, Offset: 0x2C
Table: DT_TEBSPDecal, Prop: m_nIndex, Offset: 0x30
Table: DT_TEBreakModel, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEBreakModel, Prop: m_angRotation[0], Offset: 0x2C
Table: DT_TEBreakModel, Prop: m_angRotation[1], Offset: 0x30
Table: DT_TEBreakModel, Prop: m_angRotation[2], Offset: 0x34
Table: DT_TEBreakModel, Prop: m_vecSize, Offset: 0x38
Table: DT_TEBreakModel, Prop: m_vecVelocity, Offset: 0x44
Table: DT_TEBreakModel, Prop: m_nModelIndex, Offset: 0x54
Table: DT_TEBreakModel, Prop: m_nRandomization, Offset: 0x50
Table: DT_TEBreakModel, Prop: m_nCount, Offset: 0x58
Table: DT_TEBreakModel, Prop: m_fTime, Offset: 0x5C
Table: DT_TEBreakModel, Prop: m_nFlags, Offset: 0x60
Table: DT_TEParticleSystem, Prop: m_vecOrigin[0], Offset: 0x20
Table: DT_TEParticleSystem, Prop: m_vecOrigin[1], Offset: 0x24
Table: DT_TEParticleSystem, Prop: m_vecOrigin[2], Offset: 0x28
Table: DT_TEBloodStream, Prop: m_vecDirection, Offset: 0x30
Table: DT_TEBloodStream, Prop: r, Offset: 0x3C
Table: DT_TEBloodStream, Prop: g, Offset: 0x40
Table: DT_TEBloodStream, Prop: b, Offset: 0x44
Table: DT_TEBloodStream, Prop: a, Offset: 0x48
Table: DT_TEBloodStream, Prop: m_nAmount, Offset: 0x4C
Table: DT_TEBloodSprite, Prop: m_vecOrigin, Offset: 0x20
Table: DT_TEBloodSprite, Prop: m_vecDirection, Offset: 0x2C
Table: DT_TEBloodSprite, Prop: r, Offset: 0x38
Table: DT_TEBloodSprite, Prop: g, Offset: 0x3C
Table: DT_TEBloodSprite, Prop: b, Offset: 0x40
